"Index","Name","Category","Definition Link"
,"Portuguese Physical Addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-portugal-physical-addresses"
,"Portugal tax identification number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-portugal-tax-identification-number"
,"Qatari ID Card Number","Country-Specific","https://learn.microsoft.com/en-us/purview/sit-defn-qatari-id-card-number"
,"Romania driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-romania-drivers-license-number"
,"Romania passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-romania-passport-number"
,"Romania Personal Numerical Code (CNP)","Country-Specific","https://learn.microsoft.com/en-us/purview/sit-defn-romania-personal-numeric-code"
,"Romania physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-romania-physical-addresses"
,"Russian Passport Number (Domestic)","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-russia-passport-number-domestic"
,"Russian Passport Number (International)","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-russia-passport-number-international"
,"Saudi Arabia National ID","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-saudi-arabia-national-id"
,"Singapore passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-singapore-passport-number"
,"Singapore national registration identity card (NRIC) number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-singapore-national-registration-identity-card-number"
,"Slack access token","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-slack-access-token"
,"Slovakia driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-slovakia-drivers-license-number"
,"Slovakia passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-slovakia-passport-number"
,"Slovakia personal number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-slovakia-personal-number"
,"Slovakia physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-slovakia-physical-addresses"
,"Slovenia driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-slovenia-drivers-license-number"
,"Slovenia passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-slovenia-passport-number"
,"Slovenia physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-slovenia-physical-addresses"
,"Slovenia tax identification number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-slovenia-tax-identification-number"
,"Slovenia Unique Master Citizen Number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-slovenia-unique-master-citizen-number"
,"South Africa identification number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-south-africa-identification-number"
,"South Korea driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-south-korea-drivers-license-number"
,"South Korea passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-south-korea-passport-number"
,"South Korea resident registration number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-south-korea-resident-registration-number"
,"Spain DNI","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-spain-dni"
,"Spain driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-spain-drivers-license-number"
,"Spain passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-spain-passport-number"
,"Spain physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-spain-physical-addresses"
,"Spain social security number (SSN)","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-spain-social-security-number"
,"Spain tax identification number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-spain-tax-identification-number"
,"SQL Server connection string","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-sql-server-connection-string"
,"Surgical procedures","Healthcare","https://learn.microsoft.com/en-us/purview/sit-defn-surgical-procedures"
,"Sweden driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-sweden-drivers-license-number"
,"Sweden national ID","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-sweden-national-id"
,"Sweden passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-sweden-passport-number"
,"Sweden physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-sweden-physical-addresses"
,"Sweden tax identification number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-sweden-tax-identification-number"
,"SWIFT code","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-swift-code"
,"Switzerland physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-switzerland-physical-addresses"
,"Swiss Social Security Number AHV","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-switzerland-ssn-ahv-number"
,"Taiwan National ID","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-taiwan-national-identification-number"
,"Taiwan passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-taiwan-passport-number"
,"Taiwan Resident Certificate (ARC/TARC)","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-taiwan-resident-certificate-number"
,"Thai population identification code","Country-Specific","https://learn.microsoft.com/en-us/purview/sit-defn-thai-population-identification-code"
,"Turkish National Identification number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-turkey-national-identification-number"
,"Turkey physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-turkey-physical-addresses"
,"Types of medication","Healthcare","https://learn.microsoft.com/en-us/purview/sit-defn-types-of-medication"
,"UAE Identity Card Number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-uae-identity-card-number"
,"UAE Passport Number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-uae-passport-number"
,"U.K. driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-uk-drivers-license-number"
,"U.K. electoral roll number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-uk-electoral-roll-number"
,"U.K. national health service number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-uk-national-health-service-number"
,"U.K. national insurance number (NINO)","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-uk-national-insurance-number"
,"U.K. physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-uk-physical-addresses"
,"U.K. Unique Taxpayer Reference Number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-uk-unique-taxpayer-reference-number"
,"U.S. bank account number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-us-bank-account-number"
,"U.S. driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-us-drivers-license-number"
,"U.S. individual taxpayer identification number (ITIN)","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-us-individual-taxpayer-identification-number"
,"U.S. physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-us-physical-addresses"
,"U.S. social security number (SSN)","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-us-social-security-number"
,"U.S. / U.K. Passport Number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-us-uk-passport-number"
,"Ukraine Passport Number (Domestic)","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-ukraine-passport-domestic"
,"Ukraine Passport Number (International)","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-ukraine-passport-international"
,"User login credentials","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-user-login-credentials"
,"X.509 certificate private key","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-x-509-certificate-private-key"
