"Index","Name","Category","Definition Link"
,"Azure storage account key","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-azure-storage-account-key"
,"Azure Storage account key (generic)","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-azure-storage-account-key-generic"
,"Azure Storage account shared access signature","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-azure-storage-account-shared-access-signature"
,"Azure Storage account shared access signature for high risk resources","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-azure-storage-account-shared-access-signature-high-risk-resources"
,"Azure subscription management certificate","Credentials/Secrets","https://learn.microsoft.com/en-us/purview/sit-defn-azure-subscription-management-certificate"
,"Belgium driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-belgium-drivers-license-number"
,"Belgium national number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-belgium-national-number"
,"Belgium passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-belgium-passport-number"
,"Belgium physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-belgium-physical-addresses"
,"Belgium value added tax number","Financial","https://learn.microsoft.com/en-us/purview/sit-defn-belgium-value-added-tax-number"
,"Blood test terms","Healthcare","https://learn.microsoft.com/en-us/purview/sit-defn-blood-test-terms"
,"Brand medication names","Healthcare","https://learn.microsoft.com/en-us/purview/sit-defn-brand-medication-names"
,"Brazil CPF number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-brazil-cpf-number"
,"Brazil legal entity number (CNPJ)","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-brazil-legal-entity-number"
,"Brazil National ID Card (RG)","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-brazil-national-identification-card"
,"Brazil physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-brazil-physical-addresses"
,"Bulgaria driver's license number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-bulgaria-drivers-license-number"
,"Bulgaria passport number","Government ID","https://learn.microsoft.com/en-us/purview/sit-defn-bulgaria-passport-number"
,"Bulgaria physical addresses","Physical Address","https://learn.microsoft.com/en-us/purview/sit-defn-bulgaria-physical-addresses"
